start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
,2009-06-30,77888000000.0,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2009Q2I,Assets,USD,MSFT,789019
,2010-06-30,86113000000.0,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2010Q2I,Assets,USD,MSFT,789019
,2011-06-30,108704000000.0,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2011Q2I,Assets,USD,MSFT,789019
,2012-06-30,121271000000.0,0001193125-13-310206,2013,FY,10-K,2013-07-30,,Assets,USD,MSFT,789019
,2013-06-30,142431000000.0,0001193125-14-289961,2014,FY,10-K,2014-07-31,CY2013Q2I,Assets,USD,MSFT,789019
,2014-06-30,172384000000.0,0001193125-15-272806,2015,FY,10-K,2015-07-31,,Assets,USD,MSFT,789019
,2015-06-30,176223000000.0,0001193125-15-272806,2015,FY,10-K,2015-07-31,,Assets,USD,MSFT,789019
,2016-06-30,193694000000.0,0001193125-16-662209,2016,FY,10-K,2016-07-28,,Assets,USD,MSFT,789019
,2017-06-30,250312000000.0,0001564590-18-019062,2018,FY,10-K,2018-08-03,CY2017Q2I,Assets,USD,MSFT,789019
,2018-06-30,258848000000.0,0001564590-19-027952,2019,FY,10-K,2019-08-01,CY2018Q2I,Assets,USD,MSFT,789019
,2019-06-30,286556000000.0,0001564590-20-034944,2020,FY,10-K,2020-07-31,CY2019Q2I,Assets,USD,MSFT,789019
,2020-06-30,301311000000.0,0001564590-21-039151,2021,FY,10-K,2021-07-29,CY2020Q2I,Assets,USD,MSFT,789019
,2021-06-30,333779000000.0,0001564590-22-026876,2022,FY,10-K,2022-07-28,CY2021Q2I,Assets,USD,MSFT,789019
,2022-06-30,364840000000.0,0000950170-23-035122,2023,FY,10-K,2023-07-27,CY2022Q2I,Assets,USD,MSFT,789019
,2023-06-30,411976000000.0,0000950170-23-035122,2023,FY,10-K,2023-07-27,,Assets,USD,MSFT,789019
