start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
,2010-12-31,0.0,0000097476-12-000010,2011,FY,10-K,2012-02-24,CY2010Q4I,LongTermDebtCurrent,USD,TXN,97476
,2011-12-31,382000000.0,0000097476-13-000009,2012,FY,10-K,2013-02-22,,LongTermDebtCurrent,USD,TXN,97476
,2012-12-31,1500000000.0,0000097476-14-000007,2013,FY,10-K,2014-02-24,CY2012Q4I,LongTermDebtCurrent,USD,TXN,97476
,2013-12-31,1000000000.0,0000097476-15-000003,2014,FY,10-K,2015-02-24,CY2013Q4I,LongTermDebtCurrent,USD,TXN,97476
,2014-12-31,1001000000.0,0001564590-16-013126,2015,FY,10-K,2016-02-24,CY2014Q4I,LongTermDebtCurrent,USD,TXN,97476
,2015-12-31,1000000000.0,0001564590-17-002142,2016,FY,10-K,2017-02-23,CY2015Q4I,LongTermDebtCurrent,USD,TXN,97476
,2016-12-31,631000000.0,0001564590-18-002832,2017,FY,10-K,2018-02-22,CY2016Q4I,LongTermDebtCurrent,USD,TXN,97476
,2017-12-31,500000000.0,0001564590-19-003839,2018,FY,10-K,2019-02-22,CY2017Q4I,LongTermDebtCurrent,USD,TXN,97476
,2018-12-31,749000000.0,0000097476-20-000009,2019,FY,10-K,2020-02-20,CY2018Q4I,LongTermDebtCurrent,USD,TXN,97476
,2019-12-31,500000000.0,0000097476-21-000006,2020,FY,10-K,2021-02-05,CY2019Q4I,LongTermDebtCurrent,USD,TXN,97476
,2020-12-31,550000000.0,0000097476-22-000009,2021,FY,10-K,2022-02-04,CY2020Q4I,LongTermDebtCurrent,USD,TXN,97476
,2021-12-31,500000000.0,0000097476-23-000007,2022,FY,10-K,2023-02-03,CY2021Q4I,LongTermDebtCurrent,USD,TXN,97476
,2022-12-31,500000000.0,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2022Q4I,LongTermDebtCurrent,USD,TXN,97476
,2023-12-31,599000000.0,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2023Q4I,LongTermDebtCurrent,USD,TXN,97476
