start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2016-01-01,2016-12-31,13370000000.0,0001564590-19-003839,2018,FY,10-K,2019-02-22,CY2016,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,97476
2017-01-01,2017-12-31,14961000000.0,0000097476-20-000009,2019,FY,10-K,2020-02-20,CY2017,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,97476
2018-01-01,2018-12-31,15784000000.0,0000097476-21-000006,2020,FY,10-K,2021-02-05,CY2018,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,97476
2019-01-01,2019-12-31,14383000000.0,0000097476-22-000009,2021,FY,10-K,2022-02-04,CY2019,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,97476
2020-01-01,2020-12-31,14461000000.0,0000097476-23-000007,2022,FY,10-K,2023-02-03,CY2020,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,97476
2021-01-01,2021-12-31,18344000000.0,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2021,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,97476
2022-01-01,2022-12-31,20028000000.0,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2022,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,97476
2023-01-01,2023-12-31,17519000000.0,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2023,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,97476
2007-01-01,2007-12-31,13835000000.0,0001140361-10-007923,2009,FY,10-K,2010-02-23,CY2007,SalesRevenueNet,USD,TXN,97476
2008-01-01,2008-12-31,12501000000.0,0001140361-10-007923,2009,FY,10-K,2010-02-23,,SalesRevenueNet,USD,TXN,97476
2009-01-01,2009-12-31,10427000000.0,0000097476-12-000010,2011,FY,10-K,2012-02-24,CY2009,SalesRevenueNet,USD,TXN,97476
2010-01-01,2010-12-31,13966000000.0,0000097476-12-000010,2011,FY,10-K,2012-02-24,,SalesRevenueNet,USD,TXN,97476
2011-01-01,2011-12-31,13735000000.0,0000097476-12-000010,2011,FY,10-K,2012-02-24,,SalesRevenueNet,USD,TXN,97476
2012-01-01,2012-12-31,12825000000.0,0000097476-13-000009,2012,FY,10-K,2013-02-22,,SalesRevenueNet,USD,TXN,97476
2013-01-01,2013-12-31,12205000000.0,0000097476-14-000007,2013,FY,10-K,2014-02-24,,SalesRevenueNet,USD,TXN,97476
2014-01-01,2014-12-31,13045000000.0,0000097476-15-000003,2014,FY,10-K,2015-02-24,,SalesRevenueNet,USD,TXN,97476
2015-01-01,2015-12-31,13000000000.0,0001564590-16-013126,2015,FY,10-K,2016-02-24,,SalesRevenueNet,USD,TXN,97476
2016-01-01,2016-12-31,13370000000.0,0001564590-17-002142,2016,FY,10-K,2017-02-23,,SalesRevenueNet,USD,TXN,97476
2017-01-01,2017-12-31,14961000000.0,0001564590-18-002832,2017,FY,10-K,2018-02-22,CY2017,SalesRevenueNet,USD,TXN,97476
2007-01-01,2007-12-31,2657000000.0,0001140361-10-007923,2009,FY,10-K,2010-02-23,CY2007,NetIncomeLoss,USD,TXN,97476
2008-01-01,2008-12-31,1920000000.0,0001140361-11-012312,2010,FY,10-K,2011-02-25,CY2008,NetIncomeLoss,USD,TXN,97476
2009-01-01,2009-12-31,1470000000.0,0000097476-12-000010,2011,FY,10-K,2012-02-24,CY2009,NetIncomeLoss,USD,TXN,97476
2010-01-01,2010-12-31,3228000000.0,0000097476-13-000009,2012,FY,10-K,2013-02-22,,NetIncomeLoss,USD,TXN,97476
2011-01-01,2011-12-31,2236000000.0,0000097476-14-000007,2013,FY,10-K,2014-02-24,CY2011,NetIncomeLoss,USD,TXN,97476
2012-01-01,2012-12-31,1759000000.0,0000097476-15-000003,2014,FY,10-K,2015-02-24,CY2012,NetIncomeLoss,USD,TXN,97476
2013-01-01,2013-12-31,2162000000.0,0001564590-16-013126,2015,FY,10-K,2016-02-24,CY2013,NetIncomeLoss,USD,TXN,97476
2014-01-01,2014-12-31,2821000000.0,0001564590-17-002142,2016,FY,10-K,2017-02-23,CY2014,NetIncomeLoss,USD,TXN,97476
2015-01-01,2015-12-31,2986000000.0,0001564590-18-002832,2017,FY,10-K,2018-02-22,CY2015,NetIncomeLoss,USD,TXN,97476
2016-01-01,2016-12-31,3595000000.0,0001564590-19-003839,2018,FY,10-K,2019-02-22,CY2016,NetIncomeLoss,USD,TXN,97476
