start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2007-01-01,2007-12-31,3497000000.0,0001140361-10-007923,2009,FY,10-K,2010-02-23,CY2007,OperatingIncomeLoss,USD,TXN,97476
2008-01-01,2008-12-31,2437000000.0,0001140361-11-012312,2010,FY,10-K,2011-02-25,CY2008,OperatingIncomeLoss,USD,TXN,97476
2009-01-01,2009-12-31,1991000000.0,0000097476-12-000010,2011,FY,10-K,2012-02-24,CY2009,OperatingIncomeLoss,USD,TXN,97476
2010-01-01,2010-12-31,4514000000.0,0000097476-13-000009,2012,FY,10-K,2013-02-22,,OperatingIncomeLoss,USD,TXN,97476
2011-01-01,2011-12-31,2992000000.0,0000097476-14-000007,2013,FY,10-K,2014-02-24,CY2011,OperatingIncomeLoss,USD,TXN,97476
2012-01-01,2012-12-31,1973000000.0,0000097476-15-000003,2014,FY,10-K,2015-02-24,CY2012,OperatingIncomeLoss,USD,TXN,97476
2013-01-01,2013-12-31,2832000000.0,0001564590-16-013126,2015,FY,10-K,2016-02-24,CY2013,OperatingIncomeLoss,USD,TXN,97476
2014-01-01,2014-12-31,3947000000.0,0001564590-17-002142,2016,FY,10-K,2017-02-23,CY2014,OperatingIncomeLoss,USD,TXN,97476
2015-01-01,2015-12-31,4322000000.0,0001564590-18-002832,2017,FY,10-K,2018-02-22,CY2015,OperatingIncomeLoss,USD,TXN,97476
2016-01-01,2016-12-31,4855000000.0,0001564590-19-003839,2018,FY,10-K,2019-02-22,CY2016,OperatingIncomeLoss,USD,TXN,97476
2017-01-01,2017-12-31,6083000000.0,0000097476-20-000009,2019,FY,10-K,2020-02-20,CY2017,OperatingIncomeLoss,USD,TXN,97476
2018-01-01,2018-12-31,6713000000.0,0000097476-21-000006,2020,FY,10-K,2021-02-05,CY2018,OperatingIncomeLoss,USD,TXN,97476
2019-01-01,2019-12-31,5723000000.0,0000097476-22-000009,2021,FY,10-K,2022-02-04,CY2019,OperatingIncomeLoss,USD,TXN,97476
2020-01-01,2020-12-31,5894000000.0,0000097476-23-000007,2022,FY,10-K,2023-02-03,CY2020,OperatingIncomeLoss,USD,TXN,97476
2021-01-01,2021-12-31,8960000000.0,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2021,OperatingIncomeLoss,USD,TXN,97476
2022-01-01,2022-12-31,10140000000.0,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2022,OperatingIncomeLoss,USD,TXN,97476
2023-01-01,2023-12-31,7331000000.0,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2023,OperatingIncomeLoss,USD,TXN,97476
