start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2015-07-01,2016-06-30,91154000000.0,0001564590-18-019062,2018,FY,10-K,2018-08-03,CY2016,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2016-07-02,2016-09-30,21928000000.0,0001564590-18-019062,2018,FY,10-K,2018-08-03,CY2016Q3,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2016-10-01,2016-12-31,25826000000.0,0001564590-18-019062,2018,FY,10-K,2018-08-03,CY2016Q4,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2017-01-01,2017-03-31,23212000000.0,0001564590-18-019062,2018,FY,10-K,2018-08-03,CY2017Q1,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2016-07-01,2017-06-30,96571000000.0,0001564590-18-019062,2018,FY,10-K,2018-08-03,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2016-07-01,2017-06-30,96571000000.0,0001564590-19-027952,2019,FY,10-K,2019-08-01,CY2017,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2017-04-01,2017-06-30,25605000000.0,0001564590-18-019062,2018,FY,10-K,2018-08-03,CY2017Q2,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2017-07-01,2017-09-30,24538000000.0,0001564590-18-019062,2018,FY,10-K,2018-08-03,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2017-07-01,2017-09-30,24538000000.0,0001564590-18-024893,2019,Q1,10-Q,2018-10-24,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2017-07-01,2017-09-30,24538000000.0,0001564590-19-027952,2019,FY,10-K,2019-08-01,CY2017Q3,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2017-07-01,2017-12-31,53456000000.0,0001564590-19-001392,2019,Q2,10-Q,2019-01-30,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2017-10-01,2017-12-31,28918000000.0,0001564590-18-019062,2018,FY,10-K,2018-08-03,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2017-10-01,2017-12-31,28918000000.0,0001564590-19-001392,2019,Q2,10-Q,2019-01-30,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2017-10-01,2017-12-31,28918000000.0,0001564590-19-027952,2019,FY,10-K,2019-08-01,CY2017Q4,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2017-07-01,2018-03-31,80275000000.0,0001564590-19-012709,2019,Q3,10-Q,2019-04-24,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2018-01-01,2018-03-31,26819000000.0,0001564590-18-019062,2018,FY,10-K,2018-08-03,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2018-01-01,2018-03-31,26819000000.0,0001564590-19-012709,2019,Q3,10-Q,2019-04-24,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2018-01-01,2018-03-31,26819000000.0,0001564590-19-027952,2019,FY,10-K,2019-08-01,CY2018Q1,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2017-07-01,2018-06-30,110360000000.0,0001564590-18-019062,2018,FY,10-K,2018-08-03,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2017-07-01,2018-06-30,110360000000.0,0001564590-19-027952,2019,FY,10-K,2019-08-01,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2017-07-01,2018-06-30,110360000000.0,0001564590-20-034944,2020,FY,10-K,2020-07-31,CY2018,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2018-04-01,2018-06-30,30085000000.0,0001564590-18-019062,2018,FY,10-K,2018-08-03,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2018-04-01,2018-06-30,30085000000.0,0001564590-19-027952,2019,FY,10-K,2019-08-01,CY2018Q2,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
2018-07-01,2018-09-30,29084000000.0,0001564590-18-024893,2019,Q1,10-Q,2018-10-24,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,MSFT,0000789019
